"索引","核酸提取编号","华大编号","提取日期","样本类型","核酸类型","样本体积(ml)/质量(mg)","提取方法","浓度(ng/ul)","体积(ul)","冰箱位置","孔板号","孔位","提取总量(ng)","成功建库使用量(ng)","失败建库使用量(ng)","科研项目使用量(ng)","其他使用量(ng)","剩余量(ng)","备注","上次修改时间","创建时间"
"252","20P8023980","20P8023980","2000-01-01","P","cfDNA","500","南科手工提取","0.292","18","无","无","无","5.256","0","0","0","0","5.256","无","2020/08/20 06:26","2020/08/20 06:26"
"253","20P8023981","20P8023981","2000-01-01","P","cfDNA","500","南科手工提取","0.038","38","无","无","无","1.444","0","0","0","0","1.444","无","2020/08/20 06:26","2020/08/20 06:26"
"254","20P8023982","20P8023982","2000-01-01","P","cfDNA","500","南科手工提取","0.039","38","无","无","无","1.482","0","0","0","0","1.482","无","2020/08/20 06:26","2020/08/20 06:26"
"255","20P8023983","20P8023983","2000-01-01","P","cfDNA","500","南科手工提取","0.058","36","无","无","无","2.088","0","0","0","0","2.088","无","2020/08/20 06:26","2020/08/20 06:26"
"256","20P8023984","20P8023984","2000-01-01","P","cfDNA","500","南科手工提取","0.177","18","无","无","无","3.186","0","0","0","0","3.186","无","2020/08/20 06:26","2020/08/20 06:26"
"257","20P8023985","20P8023985","2000-01-01","P","cfDNA","500","南科手工提取","0.132","18","无","无","无","2.376","0","0","0","0","2.376","无","2020/08/20 06:26","2020/08/20 06:26"
"258","20P8023986","20P8023986","2000-01-01","P","cfDNA","500","南科手工提取","0.57","18","无","无","无","10.26","0","0","0","0","10.26","无","2020/08/20 06:26","2020/08/20 06:26"
"259","20P8023987","20P8023987","2000-01-01","P","cfDNA","500","南科手工提取","0.102","18","无","无","无","1.836","0","0","0","0","1.836","无","2020/08/20 06:26","2020/08/20 06:26"
"260","20P8023988","20P8023988","2000-01-01","P","cfDNA","500","南科手工提取","0.34","18","无","无","无","6.12","0","0","0","0","6.12","无","2020/08/20 06:26","2020/08/20 06:26"
"261","20P8023989","20P8023989","2000-01-01","P","cfDNA","500","南科手工提取","0.121","18","无","无","无","2.178","0","0","0","0","2.178","无","2020/08/20 06:26","2020/08/20 06:26"
"262","20P8023990","20P8023990","2000-01-01","P","cfDNA","500","南科手工提取","0.056","18","无","无","无","1.008","0","0","0","0","1.008","无","2020/08/20 06:26","2020/08/20 06:26"
"263","20P8023991","20P8023991","2000-01-01","P","cfDNA","500","南科手工提取","0.154","18","无","无","无","2.772","0","0","0","0","2.772","无","2020/08/20 06:26","2020/08/20 06:26"
"264","20P8023992","20P8023992","2000-01-01","P","cfDNA","500","南科手工提取","0.082","18","无","无","无","1.476","0","0","0","0","1.476","无","2020/08/20 06:26","2020/08/20 06:26"
"265","20P8023993","20P8023993","2000-01-01","P","cfDNA","500","南科手工提取","0.111","18","无","无","无","1.998","0","0","0","0","1.998","无","2020/08/20 06:26","2020/08/20 06:26"
"266","20P8023994","20P8023994","2000-01-01","P","cfDNA","500","南科手工提取","0.44","18","无","无","无","7.92","0","0","0","0","7.92","无","2020/08/20 06:26","2020/08/20 06:26"
"267","20P8023995","20P8023995","2000-01-01","P","cfDNA","500","南科手工提取","0.119","18","无","无","无","2.142","0","0","0","0","2.142","无","2020/08/20 06:26","2020/08/20 06:26"
"268","20P8023996","20P8023996","2000-01-01","P","cfDNA","500","南科手工提取","0.62","18","无","无","无","11.16","0","0","0","0","11.16","无","2020/08/20 06:26","2020/08/20 06:26"
"269","20P8023997","20P8023997","2000-01-01","P","cfDNA","500","南科手工提取","0.165","18","无","无","无","2.97","0","0","0","0","2.97","无","2020/08/20 06:26","2020/08/20 06:26"
"270","20P8180712","20P8180712","2000-01-01","P","cfDNA","500","南科手工提取","0.093","18","无","无","无","1.674","0","0","0","0","1.674","无","2020/08/20 06:26","2020/08/20 06:26"
"271","20P8180713","20P8180713","2000-01-01","P","cfDNA","500","南科手工提取","0.314","18","无","无","无","5.652","0","0","0","0","5.652","无","2020/08/20 06:26","2020/08/20 06:26"
"272","20P8180714","20P8180714","2000-01-01","P","cfDNA","500","南科手工提取","0.202","18","无","无","无","3.636","0","0","0","0","3.636","无","2020/08/20 06:26","2020/08/20 06:26"
"273","20P8180715","20P8180715","2000-01-01","P","cfDNA","500","南科手工提取","0.3","18","无","无","无","5.4","0","0","0","0","5.4","无","2020/08/20 06:26","2020/08/20 06:26"
"274","20P8180716","20P8180716","2000-01-01","P","cfDNA","500","南科手工提取","0.18","18","无","无","无","3.24","0","0","0","0","3.24","无","2020/08/20 06:26","2020/08/20 06:26"
"275","20P8180717","20P8180717","2000-01-01","P","cfDNA","500","南科手工提取","0.04","18","无","无","无","0.72","0","0","0","0","0.72","无","2020/08/20 06:26","2020/08/20 06:26"
"276","20P8180718","20P8180718","2000-01-01","P","cfDNA","500","南科手工提取","0.45","18","无","无","无","8.1","0","0","0","0","8.1","无","2020/08/20 06:26","2020/08/20 06:26"
"277","20P8180719","20P8180719","2000-01-01","P","cfDNA","500","南科手工提取","0.168","18","无","无","无","3.024","0","0","0","0","3.024","无","2020/08/20 06:26","2020/08/20 06:26"
"278","20P8180720","20P8180720","2000-01-01","P","cfDNA","500","南科手工提取","0.085","18","无","无","无","1.53","0","0","0","0","1.53","无","2020/08/20 06:26","2020/08/20 06:26"
"279","20P8180721","20P8180721","2000-01-01","P","cfDNA","500","南科手工提取","0.083","18","无","无","无","1.494","0","0","0","0","1.494","无","2020/08/20 06:26","2020/08/20 06:26"
"280","20P8180722","20P8180722","2000-01-01","P","cfDNA","500","南科手工提取","0.14","18","无","无","无","2.52","0","0","0","0","2.52","无","2020/08/20 06:26","2020/08/20 06:26"
"281","20P8180723","20P8180723","2000-01-01","P","cfDNA","500","南科手工提取","0.165","18","无","无","无","2.97","0","0","0","0","2.97","无","2020/08/20 06:26","2020/08/20 06:26"
"282","20P8180724","20P8180724","2000-01-01","P","cfDNA","500","南科手工提取","0.061","18","无","无","无","1.098","0","0","0","0","1.098","无","2020/08/20 06:26","2020/08/20 06:26"
"283","20P8180725","20P8180725","2000-01-01","P","cfDNA","500","南科手工提取","0.28","18","无","无","无","5.04","0","0","0","0","5.04","无","2020/08/20 06:26","2020/08/20 06:26"
"284","20P8180726","20P8180726","2000-01-01","P","cfDNA","500","南科手工提取","0.1","18","无","无","无","1.8","0","0","0","0","1.8","无","2020/08/20 06:26","2020/08/20 06:26"
"285","20S7500969","20S7500969","2000-01-01","T","DNA","9999","委托上海","99.408","150","无","无","无","14911.2","0","0","0","0","14911.2","数据量不够，结果不准","2020/08/20 06:26","2020/08/20 06:26"
"286","20S7500970","20S7500970","2000-01-01","T","DNA","9999","委托上海","222.085","150","无","无","无","33312.75","0","0","0","0","33312.75","无","2020/08/20 06:26","2020/08/20 06:26"
"287","20S7500971","20S7500971","2000-01-01","T","DNA","9999","委托上海","285.843","150","无","无","无","42876.45","0","0","0","0","42876.45","无","2020/08/20 06:26","2020/08/20 06:26"
"288","20S7500972","20S7500972","2000-01-01","T","DNA","9999","委托上海","57.101","150","无","无","无","8565.15","0","0","0","0","8565.15","无","2020/08/20 06:26","2020/08/20 06:26"
"289","20S7500973","20S7500973","2000-01-01","T","DNA","9999","委托上海","191.829","150","无","无","无","28774.35","0","0","0","0","28774.35","无","2020/08/20 06:26","2020/08/20 06:26"
"290","20S7500974","20S7500974","2000-01-01","T","DNA","9999","委托上海","151.949","150","无","无","无","22792.35","0","0","0","0","22792.35","无","2020/08/20 06:26","2020/08/20 06:26"
"291","20S7500975","20S7500975","2000-01-01","T","DNA","9999","委托上海","341.064","150","无","无","无","51159.6","0","0","0","0","51159.6","无","2020/08/20 06:26","2020/08/20 06:26"
"292","20S7500976","20S7500976","2000-01-01","T","DNA","9999","委托上海","243.345","150","无","无","无","36501.75","0","0","0","0","36501.75","无","2020/08/20 06:26","2020/08/20 06:26"
"293","20S7500977","20S7500977","2000-01-01","T","DNA","9999","委托上海","72.026","150","无","无","无","10803.9","0","0","0","0","10803.9","无","2020/08/20 06:26","2020/08/20 06:26"
"294","20S7500978","20S7500978","2000-01-01","T","DNA","9999","委托上海","422.424","150","无","无","无","63363.6","0","0","0","0","63363.6","无","2020/08/20 06:26","2020/08/20 06:26"
"295","20S7500979","20S7500979","2000-01-01","T","DNA","9999","委托上海","88.556","150","无","无","无","13283.4","0","0","0","0","13283.4","无","2020/08/20 06:26","2020/08/20 06:26"
"296","20S7500980","20S7500980","2000-01-01","T","DNA","9999","委托上海","407.047","150","无","无","无","61057.05","0","0","0","0","61057.05","无","2020/08/20 06:26","2020/08/20 06:26"
"297","20S7500981","20S7500981","2000-01-01","T","DNA","9999","委托上海","87.768","150","无","无","无","13165.2","0","0","0","0","13165.2","无","2020/08/20 06:26","2020/08/20 06:26"
"298","20S7500982","20S7500982","2000-01-01","T","DNA","9999","委托上海","206.269","150","无","无","无","30940.35","0","0","0","0","30940.35","无","2020/08/20 06:26","2020/08/20 06:26"
"299","20S7500983","20S7500983","2000-01-01","T","DNA","9999","委托上海","355.027","150","无","无","无","53254.05","0","0","0","0","53254.05","无","2020/08/20 06:26","2020/08/20 06:26"
"300","20S7500984","20S7500984","2000-01-01","T","DNA","9999","委托上海","130.63","150","无","无","无","19594.5","0","0","0","0","19594.5","数据量不够，结果不准","2020/08/20 06:26","2020/08/20 06:26"
"301","20S7500985","20S7500985","2000-01-01","T","DNA","9999","委托上海","100.913","150","无","无","无","15136.95","0","0","0","0","15136.95","无","2020/08/20 06:26","2020/08/20 06:26"
"302","20S7500986","20S7500986","2000-01-01","T","DNA","9999","委托上海","170.692","150","无","无","无","25603.8","0","0","0","0","25603.8","无","2020/08/20 06:26","2020/08/20 06:26"
"303","20S7500987","20S7500987","2000-01-01","T","DNA","9999","委托上海","97.815","150","无","无","无","14672.25","0","0","0","0","14672.25","无","2020/08/20 06:26","2020/08/20 06:26"
"304","20S7500988","20S7500988","2000-01-01","T","DNA","9999","委托上海","163.631","150","无","无","无","24544.65","0","0","0","0","24544.65","无","2020/08/20 06:26","2020/08/20 06:26"
"305","20S7500989","20S7500989","2000-01-01","T","DNA","9999","委托上海","651.349","150","无","无","无","97702.35","0","0","0","0","97702.35","无","2020/08/20 06:26","2020/08/20 06:26"
"306","20S7500990","20S7500990","2000-01-01","T","DNA","9999","委托上海","69.935","150","无","无","无","10490.25","0","0","0","0","10490.25","无","2020/08/20 06:26","2020/08/20 06:26"
"307","20S7500991","20S7500991","2000-01-01","T","DNA","9999","委托上海","303.398","150","无","无","无","45509.7","0","0","0","0","45509.7","无","2020/08/20 06:26","2020/08/20 06:26"
"308","20S7500992","20S7500992","2000-01-01","T","DNA","9999","委托上海","183.314","150","无","无","无","27497.1","0","0","0","0","27497.1","无","2020/08/20 06:26","2020/08/20 06:26"
"309","20S7500993","20S7500993","2000-01-01","T","DNA","9999","委托上海","156.15","150","无","无","无","23422.5","0","0","0","0","23422.5","无","2020/08/20 06:26","2020/08/20 06:26"
"310","20S7500994","20S7500994","2000-01-01","T","DNA","9999","委托上海","147.739","150","无","无","无","22160.85","0","0","0","0","22160.85","无","2020/08/20 06:26","2020/08/20 06:26"
"311","20S7500995","20S7500995","2000-01-01","T","DNA","9999","委托上海","75.262","150","无","无","无","11289.3","0","0","0","0","11289.3","无","2020/08/20 06:26","2020/08/20 06:26"
"312","20S7500996","20S7500996","2000-01-01","T","DNA","9999","委托上海","171.629","150","无","无","无","25744.35","0","0","0","0","25744.35","数据量不够，结果不准","2020/08/20 06:26","2020/08/20 06:26"
"313","20S7500997","20S7500997","2000-01-01","T","DNA","9999","委托上海","245.874","150","无","无","无","36881.1","0","0","0","0","36881.1","无","2020/08/20 06:26","2020/08/20 06:26"
"314","20S7500998","20S7500998","2000-01-01","T","DNA","9999","委托上海","52.238","150","无","无","无","7835.7","0","0","0","0","7835.7","无","2020/08/20 06:26","2020/08/20 06:26"
"315","20S7500999","20S7500999","2000-01-01","T","DNA","9999","委托上海","166.725","150","无","无","无","25008.75","0","0","0","0","25008.75","无","2020/08/20 06:26","2020/08/20 06:26"
"316","20S7501000","20S7501000","2000-01-01","T","DNA","9999","委托上海","87.643","150","无","无","无","13146.45","0","0","0","0","13146.45","无","2020/08/20 06:26","2020/08/20 06:26"
"317","20S7501001","20S7501001","2000-01-01","T","DNA","9999","委托上海","116.019","150","无","无","无","17402.85","0","0","0","0","17402.85","无","2020/08/20 06:26","2020/08/20 06:26"
"318","20S7501002","20S7501002","2000-01-01","T","DNA","9999","委托上海","141.217","150","无","无","无","21182.55","0","0","0","0","21182.55","无","2020/08/20 06:26","2020/08/20 06:26"
"319","20S7501003","20S7501003","2000-01-01","T","DNA","9999","委托上海","230.995","150","无","无","无","34649.25","0","0","0","0","34649.25","无","2020/08/20 06:26","2020/08/20 06:26"
"320","20S7501004","20S7501004","2000-01-01","T","DNA","9999","委托上海","503.152","150","无","无","无","75472.8","0","0","0","0","75472.8","无","2020/08/20 06:26","2020/08/20 06:26"
"321","20S7501005","20S7501005","2000-01-01","T","DNA","9999","委托上海","124.511","150","无","无","无","18676.65","0","0","0","0","18676.65","无","2020/08/20 06:26","2020/08/20 06:26"
"322","20S7501006","20S7501006","2000-01-01","T","DNA","9999","委托上海","64.905","150","无","无","无","9735.75","0","0","0","0","9735.75","无","2020/08/20 06:26","2020/08/20 06:26"
"323","20S7501007","20S7501007","2000-01-01","T","DNA","9999","委托上海","146.26","150","无","无","无","21939","0","0","0","0","21939","无","2020/08/20 06:26","2020/08/20 06:26"
"324","20S7501008","20S7501008","2000-01-01","T","DNA","9999","委托上海","141.328","150","无","无","无","21199.2","0","0","0","0","21199.2","无","2020/08/20 06:26","2020/08/20 06:26"
"325","20S7501009","20S7501009","2000-01-01","T","DNA","9999","委托上海","289.61","150","无","无","无","43441.5","0","0","0","0","43441.5","无","2020/08/20 06:26","2020/08/20 06:26"
"326","20S7501010","20S7501010","2000-01-01","T","DNA","9999","委托上海","147.205","150","无","无","无","22080.75","0","0","0","0","22080.75","数据量不够，结果不准","2020/08/20 06:26","2020/08/20 06:26"
"327","20S7501011","20S7501011","2000-01-01","T","DNA","9999","委托上海","94.457","150","无","无","无","14168.55","0","0","0","0","14168.55","无","2020/08/20 06:26","2020/08/20 06:26"
"328","20S7501012","20S7501012","2000-01-01","T","DNA","9999","委托上海","190.34","150","无","无","无","28551","0","0","0","0","28551","无","2020/08/20 06:26","2020/08/20 06:26"
"329","20S7501013","20S7501013","2000-01-01","T","DNA","9999","委托上海","737.345","150","无","无","无","110601.75","0","0","0","0","110601.75","无","2020/08/20 06:26","2020/08/20 06:26"
"330","20S7501014","20S7501014","2000-01-01","T","DNA","9999","委托上海","32.989","150","无","无","无","4948.35","0","0","0","0","4948.35","无","2020/08/20 06:26","2020/08/20 06:26"
"331","20S7501015","20S7501015","2000-01-01","T","DNA","9999","委托上海","290.389","150","无","无","无","43558.35","0","0","0","0","43558.35","无","2020/08/20 06:26","2020/08/20 06:26"
"332","20S7501016","20S7501016","2000-01-01","T","DNA","9999","委托上海","141.903","150","无","无","无","21285.45","0","0","0","0","21285.45","无","2020/08/20 06:26","2020/08/20 06:26"
"333","20S7501017","20S7501017","2000-01-01","T","DNA","9999","委托上海","254.29","150","无","无","无","38143.5","0","0","0","0","38143.5","无","2020/08/20 06:26","2020/08/20 06:26"
"334","20S7501018","20S7501018","2000-01-01","T","DNA","9999","委托上海","218.151","150","无","无","无","32722.65","0","0","0","0","32722.65","数据量不够，结果不准","2020/08/20 06:26","2020/08/20 06:26"
"335","20S7501019","20S7501019","2000-01-01","T","DNA","9999","委托上海","265.718","150","无","无","无","39857.7","0","0","0","0","39857.7","无","2020/08/20 06:26","2020/08/20 06:26"
"336","20S7501020","20S7501020","2000-01-01","T","DNA","9999","委托上海","316.431","150","无","无","无","47464.65","0","0","0","0","47464.65","无","2020/08/20 06:26","2020/08/20 06:26"
"337","20S7501021","20S7501021","2000-01-01","T","DNA","9999","委托上海","598.953","150","无","无","无","89842.95","0","0","0","0","89842.95","无","2020/08/20 06:26","2020/08/20 06:26"
"338","20S7501022","20S7501022","2000-01-01","T","DNA","9999","委托上海","392.514","150","无","无","无","58877.1","0","0","0","0","58877.1","无","2020/08/20 06:26","2020/08/20 06:26"
"339","20S7501023","20S7501023","2000-01-01","T","DNA","9999","委托上海","119.601","150","无","无","无","17940.15","0","0","0","0","17940.15","无","2020/08/20 06:26","2020/08/20 06:26"
"340","20S7501024","20S7501024","2000-01-01","T","DNA","9999","委托上海","220.921","150","无","无","无","33138.15","0","0","0","0","33138.15","无","2020/08/20 06:26","2020/08/20 06:26"
"341","20S7501025","20S7501025","2000-01-01","T","DNA","9999","委托上海","241.866","150","无","无","无","36279.9","0","0","0","0","36279.9","无","2020/08/20 06:26","2020/08/20 06:26"
"342","20S7501026","20S7501026","2000-01-01","T","DNA","9999","委托上海","530.545","150","无","无","无","79581.75","0","0","0","0","79581.75","无","2020/08/20 06:26","2020/08/20 06:26"
"343","20S7501027","20S7501027","2000-01-01","T","DNA","9999","委托上海","268.982","150","无","无","无","40347.3","0","0","0","0","40347.3","无","2020/08/20 06:26","2020/08/20 06:26"
"344","20S7501028","20S7501028","2000-01-01","T","DNA","9999","委托上海","251.851","150","无","无","无","37777.65","0","0","0","0","37777.65","无","2020/08/20 06:26","2020/08/20 06:26"
"345","20S7501029","20S7501029","2000-01-01","T","DNA","9999","委托上海","355.445","150","无","无","无","53316.75","0","0","0","0","53316.75","无","2020/08/20 06:26","2020/08/20 06:26"
"346","20S7501030","20S7501030","2000-01-01","T","DNA","9999","委托上海","586.808","150","无","无","无","88021.2","0","0","0","0","88021.2","无","2020/08/20 06:26","2020/08/20 06:26"
"347","20S7501031","20S7501031","2000-01-01","T","DNA","9999","委托上海","570.96","150","无","无","无","85644","0","0","0","0","85644","无","2020/08/20 06:26","2020/08/20 06:26"
"348","20S7501032","20S7501032","2000-01-01","T","DNA","9999","委托上海","389.407","150","无","无","无","58411.05","0","0","0","0","58411.05","无","2020/08/20 06:26","2020/08/20 06:26"
"349","20S7501033","20S7501033","2000-01-01","T","DNA","9999","委托上海","236.254","150","无","无","无","35438.1","0","0","0","0","35438.1","无","2020/08/20 06:26","2020/08/20 06:26"
"350","20S7501034","20S7501034","2000-01-01","T","DNA","9999","委托上海","187.626","150","无","无","无","28143.9","0","0","0","0","28143.9","无","2020/08/20 06:26","2020/08/20 06:26"
"351","20S7501035","20S7501035","2000-01-01","T","DNA","9999","委托上海","387.477","150","无","无","无","58121.55","0","0","0","0","58121.55","无","2020/08/20 06:26","2020/08/20 06:26"
"352","20S7501036","20S7501036","2000-01-01","T","DNA","9999","委托上海","247.085","150","无","无","无","37062.75","0","0","0","0","37062.75","无","2020/08/20 06:26","2020/08/20 06:26"
"353","20S7501037","20S7501037","2000-01-01","T","DNA","9999","委托上海","259.372","150","无","无","无","38905.8","0","0","0","0","38905.8","无","2020/08/20 06:26","2020/08/20 06:26"
"354","20S7501038","20S7501038","2000-01-01","T","DNA","9999","委托上海","274.153","150","无","无","无","41122.95","0","0","0","0","41122.95","无","2020/08/20 06:26","2020/08/20 06:26"
"355","20S7501039","20S7501039","2000-01-01","T","DNA","9999","委托上海","350.602","150","无","无","无","52590.3","0","0","0","0","52590.3","无","2020/08/20 06:26","2020/08/20 06:26"
"356","20S7501040","20S7501040","2000-01-01","T","DNA","9999","委托上海","455.919","150","无","无","无","68387.85","0","0","0","0","68387.85","无","2020/08/20 06:26","2020/08/20 06:26"
"357","20S7501041","20S7501041","2000-01-01","T","DNA","9999","委托上海","392.47","150","无","无","无","58870.5","0","0","0","0","58870.5","无","2020/08/20 06:26","2020/08/20 06:26"
"358","20S7501042","20S7501042","2000-01-01","T","DNA","9999","委托上海","177.98","150","无","无","无","26697","0","0","0","0","26697","无","2020/08/20 06:26","2020/08/20 06:26"
"359","20S7501043","20S7501043","2000-01-01","T","DNA","9999","委托上海","339.846","150","无","无","无","50976.9","0","0","0","0","50976.9","无","2020/08/20 06:26","2020/08/20 06:26"
"360","20S7501044","20S7501044","2000-01-01","T","DNA","9999","委托上海","116.824","150","无","无","无","17523.6","0","0","0","0","17523.6","无","2020/08/20 06:26","2020/08/20 06:26"
"361","20S7501045","20S7501045","2000-01-01","T","DNA","9999","委托上海","356.789","150","无","无","无","53518.35","0","0","0","0","53518.35","无","2020/08/20 06:26","2020/08/20 06:26"
"362","20S7501046","20S7501046","2000-01-01","T","DNA","9999","委托上海","224.711","150","无","无","无","33706.65","0","0","0","0","33706.65","无","2020/08/20 06:26","2020/08/20 06:26"
"363","20S7501047","20S7501047","2000-01-01","T","DNA","9999","委托上海","226.723","150","无","无","无","34008.45","0","0","0","0","34008.45","无","2020/08/20 06:26","2020/08/20 06:26"
"364","20S7501048","20S7501048","2000-01-01","T","DNA","9999","委托上海","297.89","150","无","无","无","44683.5","0","0","0","0","44683.5","无","2020/08/20 06:26","2020/08/20 06:26"
"365","20S7501049","20S7501049","2000-01-01","T","DNA","9999","委托上海","661.531","150","无","无","无","99229.65","0","0","0","0","99229.65","无","2020/08/20 06:26","2020/08/20 06:26"
"366","20S7501050","20S7501050","2000-01-01","T","DNA","9999","委托上海","257.054","150","无","无","无","38558.1","0","0","0","0","38558.1","无","2020/08/20 06:26","2020/08/20 06:26"
"367","20S7501051","20S7501051","2000-01-01","T","DNA","9999","委托上海","219.615","150","无","无","无","32942.25","0","0","0","0","32942.25","无","2020/08/20 06:26","2020/08/20 06:26"
"368","20S7501052","20S7501052","2000-01-01","T","DNA","9999","委托上海","654.935","150","无","无","无","98240.25","0","0","0","0","98240.25","数据量不够，结果不准","2020/08/20 06:26","2020/08/20 06:26"
"369","20S7501053","20S7501053","2000-01-01","T","DNA","9999","委托上海","387.958","150","无","无","无","58193.7","0","0","0","0","58193.7","无","2020/08/20 06:26","2020/08/20 06:26"
"370","20S7501054","20S7501054","2000-01-01","T","DNA","9999","委托上海","281.263","150","无","无","无","42189.45","0","0","0","0","42189.45","无","2020/08/20 06:26","2020/08/20 06:26"
"371","20S7501055","20S7501055","2000-01-01","T","DNA","9999","委托上海","728.181","150","无","无","无","109227.15","0","0","0","0","109227.15","无","2020/08/20 06:26","2020/08/20 06:26"
"372","20S7501056","20S7501056","2000-01-01","T","DNA","9999","委托上海","263.282","150","无","无","无","39492.3","0","0","0","0","39492.3","无","2020/08/20 06:26","2020/08/20 06:26"
"373","20S7501057","20S7501057","2000-01-01","T","DNA","9999","委托上海","209.68","150","无","无","无","31452","0","0","0","0","31452","无","2020/08/20 06:26","2020/08/20 06:26"
"374","20S7501058","20S7501058","2000-01-01","T","DNA","9999","委托上海","346.869","150","无","无","无","52030.35","0","0","0","0","52030.35","无","2020/08/20 06:26","2020/08/20 06:26"
"375","20S7501059","20S7501059","2000-01-01","T","DNA","9999","委托上海","512.323","150","无","无","无","76848.45","0","0","0","0","76848.45","无","2020/08/20 06:26","2020/08/20 06:26"
"376","20S7501060","20S7501060","2000-01-01","T","DNA","9999","委托上海","268.303","150","无","无","无","40245.45","0","0","0","0","40245.45","无","2020/08/20 06:26","2020/08/20 06:26"
"377","20S7501061","20S7501061","2000-01-01","T","DNA","9999","委托上海","281.991","150","无","无","无","42298.65","0","0","0","0","42298.65","无","2020/08/20 06:26","2020/08/20 06:26"
"378","20S7501062","20S7501062","2000-01-01","T","DNA","9999","委托上海","81.255","150","无","无","无","12188.25","0","0","0","0","12188.25","无","2020/08/20 06:26","2020/08/20 06:26"
"379","20S7501063","20S7501063","2000-01-01","T","DNA","9999","委托上海","300.804","150","无","无","无","45120.6","0","0","0","0","45120.6","无","2020/08/20 06:26","2020/08/20 06:26"
"380","20S7501064","20S7501064","2000-01-01","T","DNA","9999","委托上海","412.418","150","无","无","无","61862.7","0","0","0","0","61862.7","无","2020/08/20 06:26","2020/08/20 06:26"
"381","20S7501065","20S7501065","2000-01-01","T","DNA","9999","委托上海","266.217","150","无","无","无","39932.55","0","0","0","0","39932.55","无","2020/08/20 06:26","2020/08/20 06:26"
"382","20S7501066","20S7501066","2000-01-01","T","DNA","9999","委托上海","745.869","150","无","无","无","111880.35","0","0","0","0","111880.35","无","2020/08/20 06:26","2020/08/20 06:26"
"383","20S7501067","20S7501067","2000-01-01","T","DNA","9999","委托上海","360.49","150","无","无","无","54073.5","0","0","0","0","54073.5","无","2020/08/20 06:27","2020/08/20 06:27"
"384","20S7501068","20S7501068","2000-01-01","T","DNA","9999","委托上海","417.355","150","无","无","无","62603.25","0","0","0","0","62603.25","无","2020/08/20 06:27","2020/08/20 06:27"
"385","20S7501069","20S7501069","2000-01-01","T","DNA","9999","委托上海","316.728","150","无","无","无","47509.2","0","0","0","0","47509.2","无","2020/08/20 06:27","2020/08/20 06:27"
"386","20S7501070","20S7501070","2000-01-01","T","DNA","9999","委托上海","384.084","150","无","无","无","57612.6","0","0","0","0","57612.6","无","2020/08/20 06:27","2020/08/20 06:27"
"387","20S7501071","20S7501071","2000-01-01","T","DNA","9999","委托上海","222.255","150","无","无","无","33338.25","0","0","0","0","33338.25","无","2020/08/20 06:27","2020/08/20 06:27"
"388","20S7501072","20S7501072","2000-01-01","T","DNA","9999","委托上海","280.342","150","无","无","无","42051.3","0","0","0","0","42051.3","无","2020/08/20 06:27","2020/08/20 06:27"
"389","20S7501073","20S7501073","2000-01-01","T","DNA","9999","委托上海","269.375","150","无","无","无","40406.25","0","0","0","0","40406.25","无","2020/08/20 06:27","2020/08/20 06:27"
"390","20S7501074","20S7501074","2000-01-01","T","DNA","9999","委托上海","225.854","150","无","无","无","33878.1","0","0","0","0","33878.1","无","2020/08/20 06:27","2020/08/20 06:27"
"391","20S7501075","20S7501075","2000-01-01","T","DNA","9999","委托上海","377.217","150","无","无","无","56582.55","0","0","0","0","56582.55","无","2020/08/20 06:27","2020/08/20 06:27"
"392","20S7501076","20S7501076","2000-01-01","T","DNA","9999","委托上海","695.466","150","无","无","无","104319.9","0","0","0","0","104319.9","无","2020/08/20 06:27","2020/08/20 06:27"
"393","20S7501077","20S7501077","2000-01-01","T","DNA","9999","委托上海","487.685","150","无","无","无","73152.75","0","0","0","0","73152.75","无","2020/08/20 06:27","2020/08/20 06:27"
"394","20S7501078","20S7501078","2000-01-01","T","DNA","9999","委托上海","58.233","150","无","无","无","8734.95","0","0","0","0","8734.95","无","2020/08/20 06:27","2020/08/20 06:27"
"395","20S7501079","20S7501079","2000-01-01","T","DNA","9999","委托上海","46.712","150","无","无","无","7006.8","0","0","0","0","7006.8","无","2020/08/20 06:27","2020/08/20 06:27"
"396","20S7501080","20S7501080","2000-01-01","T","DNA","9999","委托上海","326.184","150","无","无","无","48927.6","0","0","0","0","48927.6","无","2020/08/20 06:27","2020/08/20 06:27"
"397","20S7501081","20S7501081","2000-01-01","T","DNA","9999","委托上海","361.63","150","无","无","无","54244.5","0","0","0","0","54244.5","无","2020/08/20 06:27","2020/08/20 06:27"
"398","20S7501082","20S7501082","2000-01-01","T","DNA","9999","委托上海","306.204","150","无","无","无","45930.6","0","0","0","0","45930.6","无","2020/08/20 06:27","2020/08/20 06:27"
"399","20S7501083","20S7501083","2000-01-01","T","DNA","9999","委托上海","86.766","150","无","无","无","13014.9","0","0","0","0","13014.9","无","2020/08/20 06:27","2020/08/20 06:27"
"400","20S7501084","20S7501084","2000-01-01","T","DNA","9999","委托上海","96.424","150","无","无","无","14463.6","0","0","0","0","14463.6","数据量不够，结果不准","2020/08/20 06:27","2020/08/20 06:27"
"401","20S7501085","20S7501085","2000-01-01","T","DNA","9999","委托上海","370.615","150","无","无","无","55592.25","0","0","0","0","55592.25","无","2020/08/20 06:27","2020/08/20 06:27"
"402","20S7501086","20S7501086","2000-01-01","T","DNA","9999","委托上海","241.643","150","无","无","无","36246.45","0","0","0","0","36246.45","无","2020/08/20 06:27","2020/08/20 06:27"
